time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,characteristic_group,characteristic,qualification_type,ssa_t1_desc,provider_type,apps_received,apps_approved,loan_amount_awarded_in_thousands
201819,Academic year,National,E92000001,England,,,Age group,24-30,Total,Total,Total,21410,18690,56300
201819,Academic year,National,E92000001,England,,,Age group,31-40,Total,Total,Total,22290,20020,55800
201819,Academic year,National,E92000001,England,,,Age group,41-50,Total,Total,Total,11310,10140,27100
201819,Academic year,National,E92000001,England,,,Age group,50+,Total,Total,Total,4380,3890,10100
201819,Academic year,National,E92000001,England,,,Age group,Unknown,Total,Total,Total,20,10,low
201819,Academic year,National,E92000001,England,,,UK Status,UK,Total,Total,Total,64330,56320,164200
201819,Academic year,National,E92000001,England,,,UK Status,Non-UK,Total,Total,Total,13280,12020,36100
201819,Academic year,National,E92000001,England,,,Total,Total,A Level,Total,Total,440,340,400
201819,Academic year,National,E92000001,England,,,Total,Total,QAA Access to HE,Total,Total,17570,14790,48300
201819,Academic year,National,E92000001,England,,,Total,Total,Level 3 Certificate,Total,Total,5680,5150,5800
201819,Academic year,National,E92000001,England,,,Total,Total,Level 3 Diploma,Total,Total,42620,38090,116700
201819,Academic year,National,E92000001,England,,,Total,Total,Level 3 Vocational Qualification,Total,Total,4790,4200,12900
201819,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Certificate,Total,Total,1300,1210,1300
201819,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Diploma,Total,Total,3760,3300,12000
201819,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Vocational Qualification,Total,Total,1430,1250,2800
201819,Academic year,National,E92000001,England,,,Total,Total,Unknown,Total,Total,20,10, low 
201819,Academic year,Regional,E92000001,England,East Midlands,E12000004,Total,Total,Total,Total,Total,4600,4040,11500
201819,Academic year,Regional,E92000001,England,East of England,E12000006,Total,Total,Total,Total,Total,6830,6120,20100
201819,Academic year,Regional,E92000001,England,London,E12000007,Total,Total,Total,Total,Total,13260,11950,35300
201819,Academic year,Regional,E92000001,England,North East,E12000001,Total,Total,Total,Total,Total,5460,4800,13700
201819,Academic year,Regional,E92000001,England,North West,E12000002,Total,Total,Total,Total,Total,10790,9410,26900
201819,Academic year,Regional,E92000001,England,South East,E12000008,Total,Total,Total,Total,Total,7680,6830,20000
201819,Academic year,Regional,E92000001,England,South West,E12000009,Total,Total,Total,Total,Total,9230,8120,22500
201819,Academic year,Regional,E92000001,England,West Midlands,E12000005,Total,Total,Total,Total,Total,8960,7690,23600
201819,Academic year,Regional,E92000001,England,Yorkshire and The Humber,E12000003,Total,Total,Total,Total,Total,8170,7160,21000
201819,Academic year,Regional,E92000001,England,Outside of England and unknown,z,Total,Total,Total,Total,Total,2620,2220,5900
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Agriculture, Horticulture and Animal Care",Total,1920,1710,8700
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Arts, Media and Publishing",Total,3490,3030,13500
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Business, Administration and Law",Total,9880,8820,22000
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Construction, Planning and the Built Environment",Total,3150,2740,10600
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Education and Training,Total,5950,5420,10200
